Country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Algeria,,,,,,,,,,,,,,,,,,,,,,243.7081134,227.6861614,223.2228478,216.050749,223.8551068,429.152547,478.3586892,666.6941622,581.8146648,630.2472206,623.3645779,709.023373,630.1657125,727.5654155,731.3354245,686.8123558,643.3967445,633.1273255,645.4246721,638.6885854,624.2755048,666.8896312,682.7286376,1142.434963,1228.382107,1494.401503,1447.902333,1648.586329,1982.854794,2097.121449,2213.236731,2568.172386,2810.894101,2872.405441,2810.499289,3196.790783,3346.673172,3430.510099,4024.924222,4689.591679,5093.384893,5390.348752,7714.487925,8117.902483,8768.654982,10098.60135,10565.03024,10596.56411,10035.46938,9624.504002,10383.20782,10141.07336,9455.120355,9145.810174,16052.12907
Libya,,,,,,,,,,,,,,,,,62.0405307,75.49748713,135.1718629,171.1881572,204.7452235,279.4689525,500.1103098,516.1284447,398.526654,495.2765686,658.1349006,402.0904945,432.2097736,597.7961896,703.1569475,875.0964811,1003.54102,468.2615522,540.5186701,,,,,,,,,,,,,,,526.4608208,593.8495416,458.5358636,490.766702,480.1241052,617.0520687,768.0223595,1002.913985,987.9495656,869.2569084,818.1165428,1236.437418,,,,2682.667158,3497.961529,3236.511746,,,,,,,,,
Morocco,,,,,,,,,111.729459,162.8780401,216.7913914,252.7047942,252.1229718,287.5363428,305.174303,401.5564303,360.7705123,314.670821,341.8563787,356.6580512,458.8456596,416.6314629,430.5020224,516.1995131,570.9726947,648.9226565,764.7089501,1122.899377,1576.154778,1807.522533,1609.944644,1613.556741,1857.107483,1892.821253,1961.295579,1427.412739,1283.043299,1838.062972,1609.159169,1610.102653,1737.600464,1878.951198,1845.199766,1937.809725,1922.419897,2028.248155,2082.192823,1917.69552,1912.573261,2003.07748,2026.963749,1433.362906,1578.403347,2351.393837,2237.206819,2369.747883,2303.242059,2390.2118,2413.030628,2485.024355,2771.800822,2960.479923,3168.340679,3191.438259,3420.971507,3908.272037,3875.234437,3577.909489,3599.711151,3705.59815,3731.482387,3809.704239,4883.245061,5026.030416,4995.028074,4868.719082
Tunisia,,,,,,,,,,,,,,70.02451939,53.3694766,53.57586938,64.62417085,50.72886467,53.18192916,56.99930017,63.94873158,60.98657305,77.93134432,80.93626034,91.36322258,89.77347166,90.95275005,129.2867327,149.3246359,197.4607994,219.5994109,210.4985252,224.2645663,296.0568148,447.3710876,550.5552795,376.4026476,326.3166701,280.0777041,253.9042138,293.7566765,303.2181611,278.8275217,285.0569699,286.5951032,298.2318832,308.6888021,313.5582168,360.6499843,356.2166656,363.298124,359.6405245,375.7687449,390.539478,386.6502476,402.347438,409.6213321,440.6709421,464.8304003,428.8578819,466.3053516,480.9093598,498.9340488,595.1692504,601.1943818,661.8925975,790.7746494,943.4134326,1004.52727,932.551601,936.2981123,1151.413236,1205.706839,1210.355285,1156.186916,1113.466124
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.8768358,413.0740641,359.6252069,215.1873072,188.2255439,3014.014748,13094.65121,1412.661574,1058.235114,1696.06517,523.1346267,6685.65919,3096.943461,1866.153792,1912.898917,2526.124868,2404.467022,3406.69728,4001.64646,3509.737379,4751.210589,4622.802149,4946.65824,4631.710125,4861.044758,6639.35288,7085.001136,4170.569003,3331.954433,2882.802335,2376.791945,2171.788155,1901.093962,1619.929593,1622.763732,1639.712947
Benin,,,,,,,,,,,,,,,,,,,,,,,15.84018068,15.82836884,17.28019711,18.75946847,17.74151696,16.88497805,14.74743002,19.53682883,13.94989798,24.72314862,29.71953089,27.594064,30.89028748,40.92584765,50.8766444,48.23801764,49.11865118,58.53912052,58.1768692,48.22551326,46.82997246,,,,,,,,,29.03249038,26.18442069,23.451315,43.14014699,47.09370523,51.32476354,52.04189372,52.0230206,,56.36551452,,,,68.69352035,72.77461836,79.1816227,92.38624053,81.73888777,115.570255,84.78885137,67.97716973,68.32699944,87.81903027,110.0103703,130.5229312
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3429864,37.32315006,55.96504583,61.40874895,55.56761534,46.4996828,46.55911229,54.19077076,59.07972042,86.67902643,151.7605394,193.709555,209.7718509,264.2919189,283.2872354,262.9422999,275.546941,253.5108545,230.539968,212.7999182,245.4664067,300.4857665,285.8367722,316.2938693,386.9449701,412.4160579,397.8445176,367.9489647,333.4346936,328.2607339,362.0239155,387.4723737,373.3797385,350.0804752,338.5466921,315.5793638,308.0034496,356.2831571,432.1708853,606.6147863,566.8646676,515.3508948,546.0738721,552.4700039,537.2161209,485.1020547,521.5971063
Burkina Faso,,,,,,,,,,,,,6.087654909,6.653467855,19.5014972,19.90218272,19.82857472,13.08303322,14.26704962,14.12107935,14.50441033,14.86112922,16.1518909,16.35908014,17.5703763,17.74290755,18.17470531,39.25924154,51.67318366,47.92996812,57.47058878,46.61809538,45.55408405,52.24660881,54.63730698,52.25829804,52.5727939,50.82082171,75.9488328,67.10871824,71.93771612,90.45830086,98.09124836,81.86541524,80.18880764,72.60895918,56.85730244,57.94990214,56.40038755,65.27637544,64.32672789,71.72195642,73.06051043,71.97570332,77.22648436,75.43089297,89.0837246,93.96656267,89.53508229,122.1001356,111.8757253,125.1225874,128.4789306,133.7077359,148.2526643,160.4836937,171.7120695,170.2856615,171.7255526,213.2724052,318.2425365,405.8837373,418.0307032,465.835508,562.5833492,793.3734815
Burundi,,,,,,,,,,,,,,,,,,15.69419898,16.549206,17.38366575,17.87301759,22.13075397,,16.81894088,22.18528366,31.49190432,34.73443495,33.34292873,39.93292261,54.58987918,53.77823083,46.24623799,62.39297021,60.09727848,69.38913225,62.11196775,60.95428227,63.71438533,63.67145394,57.22712244,69.24582165,77.54803381,81.72958831,83.71949095,86.04530268,85.059459,89.06486086,74.17141175,85.94438508,92.7441764,99.45618484,104.2465264,89.65704192,118.8780909,113.979771,115.8264883,112.5393333,107.8191814,90.05889221,90.4750614,75.48312258,,,,80.98709321,83.48340315,81.25097327,83.25438753,83.30427189,71.78151832,78.25108061,105.6856792,81.50462727,78.61902188,101.4342212,152.3822283
Cameroon,,,,,,,,,,,,,,,,,,,,,,,151.1209753,153.0036227,149.9997895,152.7282807,153.9810602,163.082754,171.4166991,174.8893601,184.9555118,202.3327285,207.3419575,289.9773142,338.8984648,332.562958,335.399862,290.1986077,259.7682837,223.5294675,206.1686994,213.6436333,221.7506151,226.6029241,219.3291488,221.804324,180.9252118,179.2025838,181.9504681,201.1258082,227.8081593,246.0652754,238.9978343,238.0804254,257.897445,276.6426891,294.2673539,290.5878376,315.6151494,331.0141394,342.9800815,347.6085994,371.331641,337.2925611,362.3107514,380.7478868,382.4496228,392.5987871,427.2743901,440.9775995,436.8570988,441.6349353,394.3372076,418.9354767,416.6380216,414.1652593
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.09563475,10.4605793,10.83012004,10.51664056,10.27337526,,,,5.197466741,4.466435732,5.514491092,8.639378419,6.01658417,6.014736602,6.681599808,7.486645416,12.06359895,8.19661192,7.45527834,7.858734084,8.1236112,8.866224586,8.226863284,8.212958721,9.733830538,7.937707631,7.997576443,8.637091224,9.093477259,8.739803896,8.9756569,9.520921136,11.04155725,9.92518874,10.67646538,10.10720795,11.44213973,10.76443553,10.25066827,12.20744239
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.35398233,34.9634308,31.81169759,27.95831675,25.67431068,23.77303144,,,,,,26.32128754,29.63464618,27.65999042,27.36322321,,28.65227322,40.39841958,47.00031288,69.61828138,63.37067543,55.71138236,56.49363551,39.43467188,32.3457775,31.05959931,30.26462346,31.26473326,42.89524493,45.04573288,52.13129831,42.00180266,56.96001961
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.40522015,78.9788794,72.96186142,83.42506012,54.07587094,105.4767607,84.96999044,44.46548888,,44.47374634,57.65706341,45.08043088,33.55365791,38.27612426,27.69147966,26.01268,38.40446227,43.58566353,48.96819799,57.9467162,58.73360857,69.61857829,70.73819048,260.8315464,458.3301975,610.0556797,707.0208097,631.1755918,583.5331924,,675.5501084,359.1218871,231.7983792,328.253998,233.5573012,244.9812748,241.8120623,312.7223898,311.4263825,331.746766,338.6864035
"Congo, DR",,,,,,,,,,,,,,,,67.29226555,92.62148395,150.8199629,129.3635875,116.39693,120.5233371,162.930286,213.1517759,200.330071,159.7619925,150.4709495,214.7712926,153.1967717,93.42014847,79.90940002,69.79301137,63.74859055,56.12492137,30.56109639,60.21483765,41.00550883,51.09312662,43.06062464,59.55193256,26.36605914,194.811624,61.12644002,43.22623282,39.74211286,75.83669734,232.9861144,,,97.45583913,80.23216796,24.14985786,87.98822543,69.27456728,,,111.5921334,184.9066551,217.0303603,235.5032719,222.348623,159.9528968,172.3128057,270.1517284,309.116418,392.397132,438.4171173,396.9146121,567.7000836,485.1398834,383.1758685,329.8002245,381.2072224,393.7761525,328.1677992,371.0815999,761.0742802
"Congo, Republic",,,,,,,,,,,,,,,,,,,,,,,57.68057925,58.00494641,44.87748821,58.46124072,74.03367297,78.31293656,83.24618216,,68.91776766,83.24772204,84.39116408,119.1708538,158.8000898,,134.5655565,150.498808,,173.8201017,,,,,198.4315445,176.3225864,,,,,,,,112.2443654,132.7793402,147.7858959,173.8282463,136.6807682,159.5096377,189.1302218,208.0779744,,230.8195318,,,346.1115706,659.1616644,,528.8018602,386.2580761,283.990561,300.6785127,288.5691539,286.9038366,265.8479727,267.8083872
