Country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Algeria,,,,,,,,,,,,,0.016136364,0.019237288,,0.025114855,0.034964539,0.034186352,0.035125936,0.030191004,0.026147279,0.023868674,0.021305392,0.02087585,0.01795844,0.01688162,0.019576681,0.021310943,0.027017212,0.022419505,0.023752289,0.021386959,0.021020633,0.018180489,0.020630974,0.019512133,0.01755124,0.016437069,0.017872137,0.018563763,0.017496987,0.015401238,0.014610706,0.012108341,0.021401321,0.025056316,0.0314643,0.029350271,0.030940884,0.036374035,0.039656738,0.0375508,0.03433394,0.038207045,0.037008048,0.032512233,0.032838952,0.028341709,0.026438088,0.029233222,0.030247462,0.038485155,0.035180232,0.043256974,0.044610786,0.048445089,0.055484833,0.062702429,0.06384929,0.059243833,0.054835887,0.059999415,0.066587108,0.055708288,0.046950222,0.081717206
Libya,,,,,,,,,,,,,0.01592,0.018550725,0.031041667,0.024079422,0.0184375,0.018571429,0.029149233,0.033609467,0.028559464,0.037628866,0.060729313,0.053226798,0.037096774,0.03984862,0.032912696,0.022539683,0.019686163,0.024639944,0.037992264,0.032207494,0.029223644,0.017551138,0.022405258,,,,,,,,,,,,,,,0.040780267,0.052974415,0.037838602,0.031468637,0.024135079,0.020692385,0.020720481,0.020710745,0.015281112,0.011203354,0.009466775,0.014898511,,,,0.037456038,0.076393308,0.154795763,,,,,,,,,
Morocco,,,,,,,,,0.011806543,0.017590028,0.021419829,0.024697337,0.023157316,0.027024336,0.025659134,0.031956155,0.028358687,0.024293313,0.026775701,0.026176471,0.030045722,0.023902168,0.023160062,0.026286249,0.028439153,0.030617978,0.031458333,0.046029129,0.06220434,0.066197749,0.058368087,0.056334623,0.059400729,0.06384594,0.062208683,0.045056586,0.040181909,0.053904352,0.043044596,0.043693148,0.041285158,0.043929174,0.04148825,0.041428429,0.042980483,0.046555717,0.044938194,0.043474105,0.039490929,0.041926594,0.034563344,0.024207632,0.026851723,0.037261359,0.03491788,0.034942075,0.032494676,0.032579968,0.031097965,0.030469537,0.031835014,0.032886518,0.033907961,0.032974952,0.034627501,0.038057829,0.033984586,0.029599979,0.029821183,0.029458899,0.029028887,0.028657984,0.039796976,0.03755157,0.038145596,0.036386852
Tunisia,,,,,,,,,,,,,0.020047876,0.022159091,0.017296051,0.015080113,0.01744186,0.012877186,0.013174748,0.014210526,0.014426846,0.013142351,0.015616728,0.01475261,0.014145199,0.013984192,0.01311539,0.017399793,0.018623901,0.023814955,0.024880229,0.02238193,0.020287193,0.024810778,0.036919036,0.041672583,0.027553415,0.023355734,0.020866761,0.018231846,0.021034759,0.021145504,0.018394566,0.018337085,0.017061259,0.01732114,0.017421232,0.017447076,0.018675352,0.017263845,0.016779715,0.015560758,0.01547904,0.015211125,0.014926429,0.014838857,0.014259021,0.014516014,0.014463624,0.012609939,0.012906249,0.012949496,0.012361705,0.014862578,0.014398739,0.015597374,0.018068875,0.021395916,0.022249847,0.020318293,0.019764487,0.023832778,0.027097784,0.026367003,0.024733637,0.023578511
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72E-07,1.73E-07,0.2225,0.219805,0.194323333,0.174636667,0.071025,0.056828305,0.175225891,0.057092807,0.047073928,0.024478482,0.059722682,0.026420119,0.173346922,0.063926032,0.045243538,0.028699324,0.037614791,0.034711802,0.036922409,0.037614953,0.031140545,0.035731204,0.0470961,0.041775845,0.032556604,0.032366595,0.044552394,0.046984545,0.031054263,0.027333349,0.025079828,0.019557868,0.017390723,0.01736994,0.013009999,0.013168195,0.013325292
Benin,,,,,,,,,,,,,0.008715847,0.01395288,0.01751634,0.017368421,0.02181699,0.021065089,0.019002326,0.019762521,0.020721248,0.018947368,0.016252815,0.01601042,0.014877943,0.016775281,0.014423792,0.014929078,0.012816479,0.016787879,0.011943069,0.0193046,0.020316514,0.015513713,0.010492986,0.011889707,0.014586989,0.013049319,0.013550965,0.015695985,0.015640912,0.013078961,0.012251571,,,,,,,,,0.004853892,0.004128523,0.003579711,0.006228195,0.006472232,0.006761499,0.006809707,0.006657233,,0.00663959,,,,0.007020562,0.006872397,0.007009249,0.007984853,0.006735967,0.009206131,0.006328575,0.004733139,0.00458762,0.005508836,0.006320875,0.007112023
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013565726,0.02874909,0.035014994,0.032076205,0.029782981,0.026947439,0.023263377,0.024372708,0.021847315,0.026635958,0.047944146,0.04899677,0.035690101,0.04445158,0.046034699,0.04482809,0.04933492,0.040081204,0.035064797,0.028995215,0.031972046,0.037793988,0.030920738,0.03191243,0.03831223,0.041102065,0.040073666,0.03505874,0.028580042,0.027545461,0.029000147,0.030976204,0.032628207,0.027590799,0.0240443,0.023437721,0.02147171,0.022119971,0.028251945,0.034106626,0.032485792,0.029247594,0.030812224,0.033347877,0.030455693,0.023821254,0.025298225
Burkina Faso,,,,,,,,,,,,,0.006820175,0.008343685,0.023457031,0.023830571,0.026051587,0.015248227,0.016494845,0.013250729,0.01178481,0.012467223,0.011722391,0.011771654,0.011398537,0.012351869,0.011519084,0.028111837,0.031238286,0.030432666,0.032831461,0.026986139,0.027466912,0.028426897,0.030033036,0.029321834,0.030171674,0.018365254,0.026218935,0.022525865,0.023108126,0.027407741,0.02704893,0.021668693,0.020496516,0.018625299,0.014228847,0.013830427,0.012870885,0.01417055,0.012763626,0.013855314,0.012380464,0.01155515,0.01177935,0.010730553,0.012070058,0.012018948,0.011103218,0.014157265,0.012429126,0.01352765,0.01224786,0.011509059,0.011760285,0.012360903,0.01272342,0.012507809,0.011653334,0.013636297,0.019253846,0.022125521,0.021320181,0.023226567,0.029774865,0.040053269
Burundi,,,,,,,,,,,,,,0.001871921,0.039437939,0.004347826,0.004456205,0.01352337,0.013822879,0.013326069,0.014142233,0.017544914,,0.010324087,0.01458671,0.019462123,0.022250828,0.020568071,0.022236012,0.025333817,0.027963737,0.026437153,0.029188034,0.030303302,0.035070249,0.031048089,0.029754008,0.027511726,0.028054132,0.026491399,0.031452451,0.033495221,0.034487125,0.037862709,0.035956379,0.037202758,0.039211112,0.042090729,0.058568849,0.06359653,0.065722725,0.062576437,0.048624022,0.060717372,0.054416789,0.055334354,0.049032668,0.0443619,0.035117185,0.034145952,0.027208905,,,,0.025271777,0.024824131,0.022979456,0.021313199,0.022431639,0.020027099,0.021494196,0.028078168,0.021859133,0.020430098,0.025982983,0.036589276
Cameroon,,,,,,,,,,,,,,,,,,,,,,,0.018721279,0.018426704,0.017628547,0.017606742,0.016919407,0.017275939,0.01762325,0.017158501,0.016651172,0.016553637,0.015558177,0.018189156,0.019905191,0.018906841,0.017402191,0.013398357,0.012178235,0.012500255,0.012847962,0.013336892,0.014745666,0.015145517,0.015326056,0.013261246,0.013103401,0.012516448,0.012248379,0.013012417,0.013965094,0.014438524,0.013247489,0.0129036,0.013385068,0.01383807,0.014016038,0.011439006,0.012297939,0.01241593,0.012555907,0.012338342,0.012883752,0.011358889,0.011753486,0.011650411,0.011049796,0.010988986,0.011464243,0.011383738,0.010760098,0.010645784,0.009644073,0.00978117,0.009425119,0.009333382
