Region,Subregion,Country
Africa,North Africa,Algeria
Africa,North Africa,Libya
Africa,North Africa,Morocco
Africa,North Africa,Tunisia
Africa,sub-Saharan Africa,Angola
Africa,sub-Saharan Africa,Benin
Africa,sub-Saharan Africa,Botswana
Africa,sub-Saharan Africa,Burkina Faso
Africa,sub-Saharan Africa,Burundi
Africa,sub-Saharan Africa,Cameroon
Africa,sub-Saharan Africa,Cape Verde
Africa,sub-Saharan Africa,Central African Republic
Africa,sub-Saharan Africa,Chad
Africa,sub-Saharan Africa,"Congo, DR"
Africa,sub-Saharan Africa,"Congo, Republic"
Africa,sub-Saharan Africa,Cote d'Ivoire
Africa,sub-Saharan Africa,Djibouti
Africa,sub-Saharan Africa,Equatorial Guinea
Africa,sub-Saharan Africa,Eritrea
Africa,sub-Saharan Africa,Ethiopia
Africa,sub-Saharan Africa,Gabon
Africa,sub-Saharan Africa,"Gambia, The"
Africa,sub-Saharan Africa,Ghana
Africa,sub-Saharan Africa,Guinea
Africa,sub-Saharan Africa,Guinea-Bissau
Africa,sub-Saharan Africa,Kenya
Africa,sub-Saharan Africa,Lesotho
Africa,sub-Saharan Africa,Liberia
Africa,sub-Saharan Africa,Madagascar
Africa,sub-Saharan Africa,Malawi
Africa,sub-Saharan Africa,Mali
Africa,sub-Saharan Africa,Mauritania
Africa,sub-Saharan Africa,Mauritius
Africa,sub-Saharan Africa,Mozambique
Africa,sub-Saharan Africa,Namibia
Africa,sub-Saharan Africa,Niger
Africa,sub-Saharan Africa,Nigeria
Africa,sub-Saharan Africa,Rwanda
Africa,sub-Saharan Africa,Senegal
Africa,sub-Saharan Africa,Seychelles
Africa,sub-Saharan Africa,Sierra Leone
Africa,sub-Saharan Africa,Somalia
Africa,sub-Saharan Africa,South Africa
Africa,sub-Saharan Africa,South Sudan
Africa,sub-Saharan Africa,Sudan
Africa,sub-Saharan Africa,Eswatini
Africa,sub-Saharan Africa,Tanzania
Africa,sub-Saharan Africa,Togo
Africa,sub-Saharan Africa,Uganda
Africa,sub-Saharan Africa,Zambia
Africa,sub-Saharan Africa,Zimbabwe
Americas,Central America and the Caribbean,Belize
Americas,Central America and the Caribbean,Costa Rica
Americas,Central America and the Caribbean,Cuba
Americas,Central America and the Caribbean,Dominican Republic
Americas,Central America and the Caribbean,El Salvador
Americas,Central America and the Caribbean,Guatemala
Americas,Central America and the Caribbean,Haiti
Americas,Central America and the Caribbean,Honduras
Americas,Central America and the Caribbean,Jamaica
Americas,Central America and the Caribbean,Mexico
Americas,Central America and the Caribbean,Nicaragua
Americas,Central America and the Caribbean,Panama
Americas,Central America and the Caribbean,Trinidad and Tobago
Americas,North America,Canada
Americas,North America,United States of America
Americas,South America,Argentina
Americas,South America,Bolivia
Americas,South America,Brazil
Americas,South America,Chile
Americas,South America,Colombia
Americas,South America,Ecuador
Americas,South America,Guyana
Americas,South America,Paraguay
Americas,South America,Peru
Americas,South America,Uruguay
Americas,South America,Venezuela
Asia & Oceania,Oceania,Australia
Asia & Oceania,Oceania,Fiji
Asia & Oceania,Oceania,New Zealand
Asia & Oceania,Oceania,Papua New Guinea
Asia & Oceania,South Asia,Afghanistan
Asia & Oceania,South Asia,Bangladesh
Asia & Oceania,South Asia,India
Asia & Oceania,South Asia,Nepal
Asia & Oceania,South Asia,Pakistan
Asia & Oceania,South Asia,Sri Lanka
Asia & Oceania,East Asia,China
Asia & Oceania,East Asia,Japan
Asia & Oceania,East Asia,"Korea, North"
Asia & Oceania,East Asia,"Korea, South"
Asia & Oceania,East Asia,Mongolia
Asia & Oceania,East Asia,Taiwan
Asia & Oceania,South East Asia,Brunei
Asia & Oceania,South East Asia,Cambodia
Asia & Oceania,South East Asia,Indonesia
Asia & Oceania,South East Asia,Laos
Asia & Oceania,South East Asia,Malaysia
Asia & Oceania,South East Asia,Myanmar
Asia & Oceania,South East Asia,Philippines
Asia & Oceania,South East Asia,Singapore
Asia & Oceania,South East Asia,Thailand
Asia & Oceania,South East Asia,Timor Leste
Asia & Oceania,South East Asia,Viet Nam
Asia & Oceania,South East Asia,Central Asia
Asia & Oceania,South East Asia,Kazakhstan
Asia & Oceania,South East Asia,Kyrgyz Republic
Asia & Oceania,South East Asia,Tajikistan
Asia & Oceania,South East Asia,Turkmenistan
Asia & Oceania,South East Asia,Uzbekistan
Europe,Central Europe,Albania
Europe,Central Europe,Bosnia and Herzegovina
Europe,Central Europe,Bulgaria
Europe,Central Europe,Croatia
Europe,Central Europe,Czechia
Europe,Central Europe,Czechoslovakia
Europe,Central Europe,Estonia
Europe,Central Europe,German Democratic Republic
Europe,Central Europe,Hungary
Europe,Central Europe,Kosovo
Europe,Central Europe,Latvia
Europe,Central Europe,Lithuania
Europe,Central Europe,North Macedonia
Europe,Central Europe,Montenegro
Europe,Central Europe,Poland
Europe,Central Europe,Romania
Europe,Central Europe,Serbia
Europe,Central Europe,Slovakia
Europe,Central Europe,Slovenia
Europe,Central Europe,Yugoslavia
Europe,Eastern Europe,Armenia
Europe,Eastern Europe,Azerbaijan
Europe,Eastern Europe,Belarus
Europe,Eastern Europe,Georgia
Europe,Eastern Europe,Moldova
Europe,Eastern Europe,Russia
Europe,Eastern Europe,Ukraine
Europe,Eastern Europe,USSR
Europe,Western Europe,Austria
Europe,Western Europe,Belgium
Europe,Western Europe,Cyprus
Europe,Western Europe,Denmark
Europe,Western Europe,Finland
Europe,Western Europe,France
Europe,Western Europe,Germany
Europe,Western Europe,Greece
Europe,Western Europe,Iceland
Europe,Western Europe,Ireland
Europe,Western Europe,Italy
Europe,Western Europe,Luxembourg
Europe,Western Europe,Malta
Europe,Western Europe,Netherlands
Europe,Western Europe,Norway
Europe,Western Europe,Portugal
Europe,Western Europe,Spain
Europe,Western Europe,Sweden
Europe,Western Europe,Switzerland
Europe,Western Europe,United Kingdom
Europe,Western Europe,European Union
Middle East,Middle East,Bahrain
Middle East,Middle East,Egypt
Middle East,Middle East,Iran
Middle East,Middle East,Iraq
Middle East,Middle East,Israel
Middle East,Middle East,Jordan
Middle East,Middle East,Kuwait
Middle East,Middle East,Lebanon
Middle East,Middle East,Oman
Middle East,Middle East,Qatar
Middle East,Middle East,Saudi Arabia
Middle East,Middle East,Syria
Middle East,Middle East,Türkiye
Middle East,Middle East,United Arab Emirates
Middle East,Middle East,"Yemen, North"
Middle East,Middle East,Yemen
